left_image,right_image,hamming_distance
img_0177.jpg,img_0178.jpg,0
img_0179.jpg,img_0182.jpg,1
img_0180.jpg,img_0183.jpg,1
img_0187.jpg,img_0190.jpg,1
img_0188.jpg,img_0191.jpg,0
img_0189.jpg,img_0199.jpg,3
img_0317.jpg,img_0404.jpg,0
img_0318.jpg,img_0418.jpg,2
img_0319.jpg,img_0411.jpg,1
img_0321.jpg,img_0391.jpg,0
img_0322.jpg,img_0386.jpg,2
img_0323.jpg,img_0403.jpg,0
img_0324.jpg,img_0407.jpg,0
img_0327.jpg,img_0427.jpg,1
img_0329.jpg,img_0417.jpg,2
img_0330.jpg,img_0426.jpg,1
img_0332.jpg,img_0333.jpg,0
img_0332.jpg,img_0421.jpg,0
img_0333.jpg,img_0421.jpg,0
img_0334.jpg,img_0335.jpg,0
img_0334.jpg,img_0423.jpg,1
img_0335.jpg,img_0423.jpg,1
img_0336.jpg,img_0337.jpg,0
img_0336.jpg,img_0415.jpg,1
img_0337.jpg,img_0415.jpg,1
img_0338.jpg,img_0339.jpg,1
img_0338.jpg,img_0414.jpg,1
img_0339.jpg,img_0414.jpg,0
img_0343.jpg,img_0416.jpg,0
img_0344.jpg,img_0425.jpg,1
img_0345.jpg,img_0428.jpg,0
img_0350.jpg,img_0413.jpg,0
img_0352.jpg,img_0408.jpg,1
img_0353.jpg,img_0406.jpg,0
img_0356.jpg,img_0399.jpg,1
img_0357.jpg,img_0398.jpg,0
img_0359.jpg,img_0384.jpg,0
img_0360.jpg,img_0385.jpg,1
img_0363.jpg,img_0388.jpg,0
img_0364.jpg,img_0389.jpg,1
img_0366.jpg,img_0390.jpg,0
img_0368.jpg,img_0392.jpg,0
img_0369.jpg,img_0393.jpg,1
img_0370.jpg,img_0395.jpg,1
img_0371.jpg,img_0394.jpg,0
img_0372.jpg,img_0382.jpg,0
img_0373.jpg,img_0381.jpg,1
img_0374.jpg,img_0379.jpg,0
img_0376.jpg,img_0380.jpg,1
img_0377.jpg,img_0383.jpg,0
img_0378.jpg,img_0387.jpg,1
img_0396.jpg,img_0410.jpg,0
img_0397.jpg,img_0412.jpg,0
img_0400.jpg,img_0429.jpg,0
img_0401.jpg,img_0419.jpg,0
img_0402.jpg,img_0424.jpg,0
img_0405.jpg,img_0420.jpg,1
img_0409.jpg,img_0422.jpg,0
img_0430.jpg,img_0441.jpg,0
img_0431.jpg,img_0443.jpg,0
img_0432.jpg,img_0446.jpg,0
img_0433.jpg,img_0444.jpg,0
img_0434.jpg,img_0447.jpg,0
img_0435.jpg,img_0448.jpg,0
img_0436.jpg,img_0445.jpg,0
img_0437.jpg,img_0453.jpg,0
img_0438.jpg,img_0449.jpg,0
img_0439.jpg,img_0452.jpg,0
img_0440.jpg,img_0451.jpg,1
img_0442.jpg,img_0450.jpg,0
img_0729.jpg,img_0751.jpg,0
img_0730.jpg,img_0766.jpg,3
img_0730.jpg,img_0767.jpg,4
img_0734.jpg,img_0758.jpg,1
img_0735.jpg,img_0755.jpg,1
img_0738.jpg,img_0752.jpg,0
img_0740.jpg,img_0753.jpg,0
img_0742.jpg,img_0754.jpg,1
img_0743.jpg,img_0756.jpg,1
img_0748.jpg,img_0763.jpg,1
img_0750.jpg,img_0765.jpg,0
img_0766.jpg,img_0767.jpg,3
img_0881.jpg,img_0885.jpg,3
img_0883.jpg,img_0884.jpg,3
img_0889.jpg,img_0890.jpg,4
img_1050.jpg,img_1051.jpg,4
img_1070.jpg,img_1076.jpg,4
