image_name,relative_path,width,height,format,mode,bytes,sha256,difference_hash
img_0001.jpg,traffic512final/img_0001.jpg,512,512,JPEG,RGB,35706,3737be65a0c1b591a5db252b1605e70a5613b1ceacfb2f10d5fbdf0842b42dc1,170323131f070317
img_0002.jpg,traffic512final/img_0002.jpg,512,512,JPEG,RGB,43740,f0bd0625bd2e41cc8e306560ae70c2a85d6ebaaa79cfec77b2f4e18e0342cc0e,212b3317130b839b
img_0003.jpg,traffic512final/img_0003.jpg,512,512,JPEG,RGB,47630,d2d4f307a61e5267560801c19cb4d0cabb2daf7ed3844317ab02204fdd71d13f,c8380984c4c1a263
img_0004.jpg,traffic512final/img_0004.jpg,512,512,JPEG,RGB,55818,9ed8f0d8601c12897e9449ca754ae54fae3690a9b66eba1d9d8dc0d82eef821d,8880d0b40cf08218
img_0005.jpg,traffic512final/img_0005.jpg,512,512,JPEG,RGB,55720,a46b432436c1316428080875925c624a5d82de4e1a3625db181130ad678477d7,6125212dba4bcd91
img_0006.jpg,traffic512final/img_0006.jpg,512,512,JPEG,RGB,63475,2dd47f2b202c0d7464252b06e3ed7e66a2ea69a3dbe8e4c10b02eb7b1b991c2a,b029c3c21b584400
img_0007.jpg,traffic512final/img_0007.jpg,512,512,JPEG,RGB,60081,39c5abee13a8d19632d06406fc14be086fa6f36bc3cfc9b5718180ed769cf9df,2e9abb6c92cac89a
img_0008.jpg,traffic512final/img_0008.jpg,512,512,JPEG,RGB,71445,e12248f2f3e593913941748c1e890f18e4cc842ce06d9c20a1ce34bf13cc23e3,185040260d3be6c7
img_0009.jpg,traffic512final/img_0009.jpg,512,512,JPEG,RGB,66295,f4634ad12d50afd7a98d7dbbbbaf4783f87f70887722a00a85d53afad6e6aced,1c343436293384c1
img_0010.jpg,traffic512final/img_0010.jpg,512,512,JPEG,RGB,66541,18d12d8066894a8866dc0e8e78cf78351ec179846c7229896b4a2ef8217ee309,e9280d0453d32c28
img_0011.jpg,traffic512final/img_0011.jpg,512,512,JPEG,RGB,69833,384a0191a10b2ed2b93013fccf78389e72ba74d8d830c062d7d886efcea13229,262b69e83d272060
img_0012.jpg,traffic512final/img_0012.jpg,512,512,JPEG,RGB,76586,921488efd54ffbf3586fbaed2086c840a2dd8898da4e7108207838f5b967b906,422aa8397a4f1f97
img_0013.jpg,traffic512final/img_0013.jpg,512,512,JPEG,RGB,51052,651c5c51ab5aafb4702949c01a5be76e98dddfb8c9c9c4541a68664bec615877,8e2230959d6e0c11
img_0014.jpg,traffic512final/img_0014.jpg,512,512,JPEG,RGB,62953,b53dcce899ce442173145e93552d6d4f6100f2d9dc89ba89d05e580ff935179f,3144684f7635b9cb
img_0015.jpg,traffic512final/img_0015.jpg,512,512,JPEG,RGB,72899,a510263629394234caa8363c5ef9a65303613932cb061278ebfab726c5cbb3c4,637260e3494b079c
img_0016.jpg,traffic512final/img_0016.jpg,512,512,JPEG,RGB,65609,ed1f1365cc0cb172998954961bfc7a4439463c2d617664fdee20c9e9dd5e4738,83a07cb832307130
img_0017.jpg,traffic512final/img_0017.jpg,512,512,JPEG,RGB,67074,77f92261d169a8abac0327db83d1cb91e340e580442e430f9f77b182d8b598dc,a322232c22608c0e
img_0018.jpg,traffic512final/img_0018.jpg,512,512,JPEG,RGB,74013,146253873b58e9a8b412032cd452f41a34ec1cae889cc931e252041f0b6f2992,328880212992a00a
img_0019.jpg,traffic512final/img_0019.jpg,512,512,JPEG,RGB,73214,a0469968066d43f56850ee1559b70f9a3ad50e5e1b11b0b572aac29187624d51,191b1f3f38488486
