threshold,coverage,accuracy_among_accepted,n_accepted
0.0792,0.9838709677419355,0.5573770491803278,61
0.0964,0.967741935483871,0.5666666666666667,60
0.1081,0.967741935483871,0.5666666666666667,60
0.1087,0.9354838709677419,0.5689655172413793,58
0.1175,0.9193548387096774,0.5789473684210527,57
0.1181,0.9032258064516129,0.5892857142857143,56
0.1236,0.9032258064516129,0.5892857142857143,56
0.1241,0.8870967741935484,0.5818181818181818,55
0.1252,0.8709677419354839,0.5925925925925926,54
0.1268,0.8387096774193549,0.6153846153846154,52
0.1286,0.8225806451612904,0.6274509803921569,51
0.1293,0.8225806451612904,0.6274509803921569,51
0.1296,0.7903225806451613,0.6530612244897959,49
0.1324,0.7903225806451613,0.6530612244897959,49
0.1354,0.7580645161290323,0.6808510638297872,47
0.1364,0.7419354838709677,0.6956521739130435,46
0.1383,0.7258064516129032,0.6888888888888889,45
0.14,0.7258064516129032,0.6888888888888889,45
0.1425,0.7096774193548387,0.6818181818181818,44
0.1431,0.6774193548387096,0.6666666666666666,42
0.1446,0.6612903225806451,0.6585365853658537,41
0.1456,0.6612903225806451,0.6585365853658537,41
0.1511,0.6290322580645161,0.6923076923076923,39
0.1518,0.6129032258064516,0.6842105263157895,38
0.1558,0.5967741935483871,0.6756756756756757,37
0.1563,0.5967741935483871,0.6756756756756757,37
0.1564,0.5645161290322581,0.6857142857142857,35
0.1566,0.5483870967741935,0.7058823529411765,34
0.1595,0.532258064516129,0.696969696969697,33
0.1627,0.5161290322580645,0.71875,32
0.1633,0.5,0.7419354838709677,31
0.1702,0.5,0.7419354838709677,31
0.1747,0.46774193548387094,0.7586206896551724,29
0.1767,0.46774193548387094,0.7586206896551724,29
0.1772,0.45161290322580644,0.75,28
0.1773,0.41935483870967744,0.7692307692307693,26
0.1781,0.41935483870967744,0.7692307692307693,26
0.1803,0.4032258064516129,0.76,25
0.1808,0.3709677419354839,0.782608695652174,23
0.1814,0.3548387096774194,0.7727272727272727,22
0.1832,0.3548387096774194,0.7727272727272727,22
0.1836,0.3225806451612903,0.75,20
0.1842,0.3225806451612903,0.75,20
0.1848,0.2903225806451613,0.7777777777777778,18
0.1869,0.27419354838709675,0.8235294117647058,17
0.1871,0.27419354838709675,0.8235294117647058,17
0.1876,0.24193548387096775,0.8,15
0.1886,0.22580645161290322,0.8571428571428571,14
0.1921,0.20967741935483872,0.8461538461538461,13
0.1939,0.20967741935483872,0.8461538461538461,13
0.1969,0.1935483870967742,0.9166666666666666,12
0.2,0.1774193548387097,0.9090909090909091,11
0.2031,0.14516129032258066,1.0,9
0.2036,0.12903225806451613,1.0,8
0.2072,0.11290322580645161,1.0,7
0.2144,0.0967741935483871,1.0,6
0.227,0.08064516129032258,1.0,5
0.2304,0.08064516129032258,1.0,5
0.2306,0.04838709677419355,1.0,3
0.2447,0.04838709677419355,1.0,3
0.2514,0.03225806451612903,1.0,2
0.2531,0.016129032258064516,1.0,1
